customer_id,segment_name,recency_days,frequency_180d,monetary_180d,ticket_count_90d,abandoned_carts_30d
CUST00088,At-Risk Customers,98,2,1169.14,0,1
CUST00089,Loyal Customers,165,1,1513.5,0,0
CUST00090,At-Risk Customers,80,4,1966.31,0,1
CUST00091,Discount-Sensitive,90,1,311.34,0,2
CUST00092,Loyal Customers,21,1,430.85,0,0
CUST00093,Discount-Sensitive,85,1,759.64,0,3
CUST00094,Discount-Sensitive,183,0,0.0,0,1
CUST00095,Discount-Sensitive,65,1,372.65,1,1
CUST00096,Champions,61,2,1414.75,0,1
CUST00097,Champions,1,3,2946.09,0,0
CUST00098,Dormant Customers,184,0,0.0,0,0
CUST00099,At-Risk Customers,144,2,1471.51,0,0
CUST00100,Dormant Customers,70,1,372.37,0,0
CUST00101,At-Risk Customers,108,2,1240.21,0,1
CUST00102,Dormant Customers,83,1,732.65,0,0
CUST00103,Discount-Sensitive,21,1,1469.96,0,1
CUST00104,Loyal Customers,93,1,955.63,0,0
CUST00105,Loyal Customers,46,1,2052.43,0,0
CUST00106,Loyal Customers,61,1,436.15,0,0
CUST00107,Champions,12,2,1658.13,0,1
CUST00108,Loyal Customers,44,1,1074.5,1,0
CUST00109,At-Risk Customers,92,2,1622.28,0,0
CUST00110,High-Value but Unhappy,35,3,2424.8,2,0
CUST00111,Loyal Customers,178,1,1135.09,0,0
CUST00112,Champions,0,4,2225.98,0,0
CUST00113,Champions,28,2,1601.31,0,0
CUST00114,Dormant Customers,239,0,0.0,0,0
CUST00115,Dormant Customers,159,1,596.54,0,0
CUST00116,Dormant Customers,143,1,452.08,0,0
CUST00117,At-Risk Customers,123,2,1268.88,0,0
CUST00118,Loyal Customers,27,1,689.56,0,0
CUST00119,Discount-Sensitive,69,1,2019.98,1,1
CUST00120,Discount-Sensitive,26,1,261.95,0,1
CUST00121,Champions,27,2,2496.03,0,1
CUST00122,At-Risk Customers,106,2,2048.93,0,1
CUST00123,At-Risk Customers,102,4,2117.52,0,1
CUST00124,Discount-Sensitive,194,0,0.0,0,1
CUST00125,Champions,8,2,1698.4,0,0
CUST00126,Discount-Sensitive,57,1,919.95,0,1
CUST00127,Loyal Customers,24,2,729.55,0,0
CUST00128,Champions,19,2,1716.68,0,4
CUST00129,At-Risk Customers,83,3,3369.08,1,2
CUST00130,Loyal Customers,88,1,1272.47,0,0
CUST00131,Discount-Sensitive,67,1,2157.15,0,1
CUST00132,Loyal Customers,117,1,1621.76,0,0
CUST00133,Champions,54,6,4776.26,0,0
CUST00134,Champions,35,2,1527.11,0,1
CUST00135,Dormant Customers,333,0,0.0,0,0
CUST00136,Discount-Sensitive,71,1,514.9,0,1
CUST00137,At-Risk Customers,177,2,1035.87,0,1
CUST00138,Loyal Customers,61,1,905.11,0,0
CUST00139,High-Value but Unhappy,28,2,1715.4,2,1
CUST00140,Champions,6,3,3416.05,1,3
CUST00141,Loyal Customers,28,1,647.85,0,0
CUST00142,Dormant Customers,169,1,369.26,0,0
CUST00143,Champions,32,3,4028.8,0,1
CUST00144,At-Risk Customers,86,2,928.58,1,0
CUST00145,Loyal Customers,30,1,502.35,0,0
CUST00146,Loyal Customers,108,1,986.21,0,0
CUST00147,At-Risk Customers,84,3,2809.32,0,0
CUST00148,Champions,4,3,1990.51,0,1
CUST00149,Discount-Sensitive,8,1,787.94,0,2
CUST00150,Champions,45,2,1008.65,0,0
CUST00151,Champions,62,3,2844.17,0,2
CUST00152,High-Value but Unhappy,46,3,2730.26,3,3
CUST00153,Discount-Sensitive,3,1,977.12,0,1
CUST00154,Champions,10,4,3935.38,0,1
CUST00155,Champions,2,3,2024.8,0,1
CUST00156,Champions,34,2,4241.75,1,1
CUST00157,Loyal Customers,0,1,376.83,0,0
CUST00158,Discount-Sensitive,155,1,812.34,0,1
CUST00159,Dormant Customers,474,0,0.0,0,0
CUST00160,Dormant Customers,177,1,433.18,0,0
CUST00161,Champions,20,3,1738.05,0,2
CUST00162,At-Risk Customers,91,2,1194.59,0,0
CUST00163,Discount-Sensitive,70,1,275.41,0,1
CUST00164,Dormant Customers,222,0,0.0,0,0
CUST00165,At-Risk Customers,103,3,1825.77,0,0
CUST00166,Loyal Customers,15,1,1269.41,1,0
CUST00167,Dormant Customers,219,0,0.0,0,0
CUST00168,At-Risk Customers,85,2,2194.93,0,0
CUST00169,Dormant Customers,222,0,0.0,0,0
CUST00170,Champions,9,2,1708.22,0,1
CUST00171,Loyal Customers,12,1,1077.78,0,0
CUST00172,Loyal Customers,8,1,1366.0,1,0
CUST00173,Discount-Sensitive,79,1,225.12,0,2
CUST00174,Discount-Sensitive,86,1,168.97,0,3
CUST00175,Champions,59,2,1378.77,0,1
CUST00176,Champions,37,3,3830.31,0,3
CUST00177,Dormant Customers,82,1,255.04,0,0
CUST00178,High-Value but Unhappy,5,2,1583.88,2,1
CUST00179,High-Value but Unhappy,38,3,1585.62,2,1
CUST00180,At-Risk Customers,96,2,1570.85,0,1
CUST00181,Discount-Sensitive,6,1,1107.73,0,1
CUST00182,Loyal Customers,31,1,305.3,0,0
CUST00183,Loyal Customers,152,1,1689.98,0,0
CUST00184,Champions,14,3,2456.91,0,0
CUST00185,Loyal Customers,114,2,866.52,0,1
CUST00186,Discount-Sensitive,41,1,714.65,1,1
CUST00187,Dormant Customers,149,1,491.11,0,0
CUST00188,Champions,29,2,1880.31,1,0
CUST00189,Discount-Sensitive,140,1,574.39,0,1
CUST00190,Discount-Sensitive,6,1,482.88,1,1
CUST00191,Discount-Sensitive,28,1,149.0,0,1
CUST00192,Champions,55,3,2263.95,0,1
CUST00193,Discount-Sensitive,157,1,424.74,0,1
CUST00194,At-Risk Customers,80,3,2967.67,1,1
CUST00195,Discount-Sensitive,23,1,654.27,1,1
CUST00196,Champions,24,2,1272.38,1,0
CUST00197,Champions,15,2,2989.16,1,0
CUST00198,Champions,37,4,4324.83,0,1
CUST00199,Champions,6,4,3273.56,1,1
CUST00200,Champions,15,3,3726.66,0,0
CUST00201,Dormant Customers,93,1,598.21,1,0
CUST00202,Discount-Sensitive,141,1,1220.26,0,2
CUST00203,Loyal Customers,114,2,743.35,0,1
CUST00204,Discount-Sensitive,42,1,519.21,0,2
CUST00205,Champions,30,3,1548.05,0,3
CUST00206,Loyal Customers,118,2,831.29,0,0
CUST00207,Discount-Sensitive,18,1,193.1,0,2
CUST00208,At-Risk Customers,91,4,3282.3,1,0
CUST00209,Dormant Customers,279,0,0.0,0,0
CUST00210,Dormant Customers,128,1,409.67,0,0
CUST00211,At-Risk Customers,90,2,3032.55,0,1
CUST00212,Dormant Customers,204,0,0.0,0,0
CUST00213,Loyal Customers,86,1,1266.34,1,0
CUST00214,Loyal Customers,64,1,1427.16,0,0
CUST00215,Loyal Customers,34,1,646.51,0,0
CUST00216,Discount-Sensitive,48,1,1349.42,1,1
CUST00217,Loyal Customers,79,2,861.18,0,0
CUST00218,Loyal Customers,23,1,713.95,0,0
CUST00219,At-Risk Customers,154,2,1225.24,0,1
CUST00220,Loyal Customers,25,2,745.67,1,2
CUST00221,Loyal Customers,7,2,781.03,0,0
CUST00222,Dormant Customers,186,0,0.0,0,0
CUST00223,Dormant Customers,103,1,757.58,0,0
CUST00224,Dormant Customers,89,1,747.2,0,0
CUST00225,At-Risk Customers,88,2,2563.85,0,0
CUST00226,Champions,54,3,2345.42,1,1
CUST00227,Loyal Customers,153,1,1070.42,0,0
CUST00228,At-Risk Customers,82,3,1343.2,0,0
CUST00229,Dormant Customers,92,1,558.95,0,0
CUST00230,Champions,37,6,6235.96,0,2
CUST00231,Discount-Sensitive,23,1,397.92,0,1
CUST00232,Loyal Customers,55,1,786.26,0,0
CUST00233,Dormant Customers,361,0,0.0,0,0
CUST00234,Champions,17,2,1421.1,0,1
CUST00235,Dormant Customers,125,1,556.26,0,0
CUST00236,Loyal Customers,62,1,782.89,1,0
CUST00237,Champions,15,4,3607.29,0,1
CUST00238,Dormant Customers,78,1,643.9,1,0
CUST00239,Discount-Sensitive,320,0,0.0,0,1
CUST00240,Champions,56,2,2277.31,1,0
CUST00241,Champions,6,2,2710.93,0,1
CUST00242,At-Risk Customers,82,3,2195.42,0,1
CUST00243,Discount-Sensitive,69,1,444.6,1,1
CUST00244,At-Risk Customers,144,2,2449.86,0,1
CUST00245,At-Risk Customers,73,2,1245.78,0,1
CUST00246,Loyal Customers,52,2,852.1,1,1
CUST00247,Champions,57,2,937.32,0,1
CUST00248,At-Risk Customers,71,3,1182.12,0,0
CUST00249,Discount-Sensitive,162,1,244.33,0,1
CUST00250,Loyal Customers,35,1,837.19,0,0
CUST00251,Discount-Sensitive,41,1,966.73,1,4
CUST00252,Dormant Customers,190,0,0.0,0,0
CUST00253,Dormant Customers,191,0,0.0,0,0
CUST00254,Dormant Customers,183,0,0.0,0,0
CUST00255,Champions,22,4,2792.14,1,0
CUST00256,Dormant Customers,181,0,0.0,0,0
CUST00257,Champions,55,2,1042.47,0,1
CUST00258,Champions,42,3,2284.5,0,2
CUST00259,Dormant Customers,192,0,0.0,0,0
CUST00260,Champions,2,2,1820.81,0,0
CUST00261,Loyal Customers,51,1,350.44,0,0
CUST00262,Champions,9,2,1318.44,0,0
CUST00263,High-Value but Unhappy,25,3,1618.39,2,3
CUST00264,Loyal Customers,31,2,671.1,1,1
CUST00265,Discount-Sensitive,77,1,510.24,0,2
CUST00266,At-Risk Customers,158,2,2193.55,0,0
CUST00267,Loyal Customers,29,1,441.97,1,0
CUST00268,Champions,9,2,1517.09,1,1
CUST00269,Champions,30,3,2563.93,0,2
CUST00270,At-Risk Customers,75,2,968.72,0,2
CUST00271,Champions,32,2,1421.17,0,0
CUST00272,Champions,12,5,3882.03,0,0
CUST00273,Champions,13,5,4433.41,0,2
CUST00274,Dormant Customers,71,1,695.0,0,0
CUST00275,Discount-Sensitive,241,0,0.0,0,1
CUST00276,Champions,47,2,3495.3,0,1
CUST00277,Loyal Customers,2,1,304.61,0,0
CUST00278,Dormant Customers,69,1,339.56,1,0
CUST00279,Champions,12,3,2035.77,0,1
CUST00280,Champions,10,2,1858.49,0,1
CUST00281,Champions,35,2,1161.06,0,0
CUST00282,Dormant Customers,296,0,0.0,0,0
CUST00283,Champions,18,3,2546.58,1,1
CUST00284,Discount-Sensitive,291,0,0.0,0,1
CUST00285,Champions,13,2,1070.21,0,1
CUST00286,Discount-Sensitive,369,0,0.0,0,1
CUST00287,At-Risk Customers,69,2,2536.41,0,2
CUST00288,At-Risk Customers,110,2,1096.1,0,0
CUST00289,Loyal Customers,5,2,811.06,0,0
CUST00290,Discount-Sensitive,9,1,251.16,1,1
CUST00291,Discount-Sensitive,58,1,1708.29,1,1
CUST00292,Loyal Customers,43,1,657.91,1,0
CUST00293,Discount-Sensitive,230,0,0.0,0,1
CUST00294,Discount-Sensitive,102,1,1714.42,0,2
CUST00295,Loyal Customers,16,1,556.31,0,0
CUST00296,Discount-Sensitive,132,1,560.55,0,1
CUST00297,Discount-Sensitive,154,1,1130.29,0,1
CUST00298,Discount-Sensitive,201,0,0.0,0,2
CUST00299,Dormant Customers,343,0,0.0,0,0
CUST00300,Loyal Customers,5,1,459.9,0,0
CUST00301,Champions,9,2,1279.6,1,1
CUST00302,At-Risk Customers,148,2,1740.35,0,1
CUST00303,Champions,48,2,1965.56,0,0
CUST00304,At-Risk Customers,87,2,1687.98,0,1
CUST00305,Discount-Sensitive,166,1,531.59,0,1
CUST00306,Champions,19,3,2579.16,1,0
CUST00307,Loyal Customers,32,1,307.42,1,0
CUST00308,Champions,66,2,1535.15,0,0
CUST00309,Discount-Sensitive,8,1,1014.02,0,1
CUST00310,Discount-Sensitive,22,1,578.27,1,1
CUST00311,Loyal Customers,48,1,1336.82,0,0
CUST00312,Discount-Sensitive,64,1,486.27,0,1
CUST00313,Discount-Sensitive,162,1,769.77,0,1
CUST00314,Loyal Customers,16,1,560.98,0,0
CUST00315,Champions,17,6,6768.08,0,1
CUST00316,At-Risk Customers,97,2,1079.82,0,0
CUST00317,Discount-Sensitive,100,1,1353.24,0,1
CUST00318,Champions,47,2,1908.68,0,0
CUST00319,Dormant Customers,147,1,460.74,0,0
CUST00320,Champions,25,3,1395.26,0,1
CUST00321,At-Risk Customers,116,2,1114.17,0,0
CUST00322,Champions,4,5,3351.86,0,0
CUST00323,Champions,5,2,2509.86,0,1
CUST00324,Dormant Customers,274,0,0.0,0,0
CUST00325,Champions,44,3,3542.89,0,0
CUST00326,Discount-Sensitive,124,1,471.14,0,1
CUST00327,Discount-Sensitive,2,1,367.29,0,1
CUST00328,Dormant Customers,322,0,0.0,0,0
CUST00329,Loyal Customers,1,1,299.28,0,0
CUST00330,At-Risk Customers,74,3,1307.8,1,0
CUST00331,Dormant Customers,151,1,505.92,0,0
CUST00332,High-Value but Unhappy,24,2,2059.8,2,0
CUST00333,Discount-Sensitive,75,1,870.15,0,1
CUST00334,Dormant Customers,85,1,731.49,1,0
CUST00335,At-Risk Customers,148,2,1328.14,0,0
CUST00336,Champions,29,2,1156.25,0,1
CUST00337,Champions,7,2,1887.73,1,1
CUST00338,Loyal Customers,12,1,887.38,1,0
CUST00339,Discount-Sensitive,92,1,465.18,0,1
CUST00340,Champions,46,3,1900.4,0,1
CUST00341,Discount-Sensitive,19,1,790.16,0,2
CUST00342,Champions,1,2,2309.31,1,0
CUST00343,Discount-Sensitive,94,1,410.91,0,2
CUST00344,Discount-Sensitive,189,0,0.0,0,1
CUST00345,Champions,3,3,3946.38,0,2
CUST00346,Discount-Sensitive,72,1,494.2,0,2
CUST00347,Discount-Sensitive,184,0,0.0,0,1
CUST00348,Champions,1,3,2509.74,0,1
CUST00349,At-Risk Customers,74,3,2183.21,0,0
CUST00350,Discount-Sensitive,41,1,537.51,0,3
CUST00351,Champions,9,3,2713.22,1,1
CUST00352,Discount-Sensitive,27,1,1000.77,0,2
CUST00353,Loyal Customers,118,2,753.92,0,0
CUST00354,Champions,36,2,1158.36,0,0
CUST00355,Discount-Sensitive,171,1,715.18,0,1
CUST00356,Champions,7,4,2192.57,0,1
CUST00357,Discount-Sensitive,42,1,513.15,1,2
CUST00358,At-Risk Customers,101,2,1523.36,0,1
CUST00359,Champions,3,3,2276.09,0,0
CUST00360,Loyal Customers,2,1,1731.67,0,0
CUST00361,Dormant Customers,169,1,361.04,0,0
CUST00362,Champions,23,3,1795.3,0,1
CUST00363,Loyal Customers,27,1,413.99,1,0
CUST00364,Dormant Customers,359,0,0.0,0,0
CUST00365,Discount-Sensitive,158,1,1015.06,0,2
CUST00366,At-Risk Customers,92,2,3930.92,0,0
CUST00367,Dormant Customers,212,0,0.0,0,0
CUST00368,Discount-Sensitive,55,1,348.81,1,1
CUST00369,Dormant Customers,71,1,910.05,0,0
CUST00370,Discount-Sensitive,172,1,452.14,0,1
CUST00371,Discount-Sensitive,124,1,912.11,0,1
CUST00372,Loyal Customers,56,1,431.11,1,0
CUST00373,At-Risk Customers,73,2,1612.89,0,2
CUST00374,Dormant Customers,219,0,0.0,0,0
CUST00375,Loyal Customers,85,2,812.45,1,0
CUST00376,Champions,45,2,1345.22,0,1
CUST00377,At-Risk Customers,80,3,1386.54,0,0
CUST00378,Discount-Sensitive,99,1,1622.32,0,1
CUST00379,Discount-Sensitive,75,1,538.25,0,1
CUST00380,Champions,39,3,1274.45,0,2
CUST00381,Dormant Customers,182,0,0.0,0,0
CUST00382,Loyal Customers,45,2,766.55,0,1
CUST00383,Champions,8,5,2977.28,1,3
CUST00384,Loyal Customers,26,1,470.31,0,0
CUST00385,Champions,63,3,1877.75,0,1
CUST00386,Champions,0,2,1407.41,0,3
CUST00387,Loyal Customers,40,1,721.21,0,0
CUST00388,Loyal Customers,37,1,528.39,0,0
CUST00389,Champions,14,5,3373.19,1,0
CUST00390,Champions,54,2,1639.43,1,1
CUST00391,Champions,1,2,2384.79,0,0
CUST00392,Discount-Sensitive,133,1,716.98,0,1
CUST00393,Champions,12,2,2231.04,1,1
CUST00394,Loyal Customers,1,1,404.19,1,0
CUST00395,Discount-Sensitive,35,1,633.86,0,1
CUST00396,Champions,10,5,3031.78,1,3
CUST00397,Discount-Sensitive,79,1,1203.27,1,1
CUST00398,Champions,8,3,2505.73,1,1
CUST00399,Dormant Customers,262,0,0.0,0,0
CUST00400,Discount-Sensitive,44,1,402.05,0,1
CUST00401,Discount-Sensitive,66,1,568.99,1,1
CUST00402,Dormant Customers,132,1,192.19,0,0
CUST00403,Champions,21,2,2029.32,0,3
CUST00404,Dormant Customers,193,0,0.0,0,0
CUST00405,Loyal Customers,2,1,282.03,1,0
CUST00406,Champions,10,3,997.27,1,0
CUST00407,Loyal Customers,18,1,1569.01,0,0
CUST00408,Loyal Customers,40,1,729.14,0,0
CUST00409,Champions,58,3,1404.08,1,2
CUST00410,Champions,1,2,1365.22,1,3
CUST00411,Dormant Customers,253,0,0.0,0,0
CUST00412,Dormant Customers,529,0,0.0,0,0
CUST00413,Discount-Sensitive,26,1,220.96,1,2
CUST00414,Discount-Sensitive,3,1,311.44,1,2
CUST00415,Loyal Customers,120,1,1236.13,0,0
CUST00416,Champions,28,2,1020.28,1,1
CUST00417,Dormant Customers,151,1,611.96,0,0
CUST00418,Champions,5,2,1919.75,1,1
CUST00419,At-Risk Customers,98,2,1795.1,0,2
CUST00420,Discount-Sensitive,18,1,1380.99,0,1
CUST00421,Discount-Sensitive,0,1,1547.12,0,1
CUST00422,Discount-Sensitive,125,1,664.17,0,1
CUST00423,At-Risk Customers,135,2,1922.89,0,0
CUST00424,Dormant Customers,113,1,625.54,0,0
CUST00425,At-Risk Customers,113,2,1502.44,0,2
CUST00426,Discount-Sensitive,77,1,718.2,0,1
CUST00427,Loyal Customers,1,2,331.53,1,1
CUST00428,Loyal Customers,74,2,810.98,0,0
CUST00429,Discount-Sensitive,6,1,432.48,1,1
CUST00430,Champions,22,3,2369.81,0,0
CUST00431,Loyal Customers,154,2,903.65,0,0
CUST00432,At-Risk Customers,112,2,2306.14,0,2
CUST00433,Champions,36,2,1032.26,1,0
CUST00434,Dormant Customers,293,0,0.0,0,0
CUST00435,Dormant Customers,200,0,0.0,0,0
CUST00436,Champions,49,3,2100.42,0,0
CUST00437,Dormant Customers,151,1,729.22,0,0
CUST00438,High-Value but Unhappy,64,3,2466.39,2,1
CUST00439,Discount-Sensitive,119,1,501.55,0,1
CUST00440,Discount-Sensitive,64,1,325.03,1,2
CUST00441,Dormant Customers,211,0,0.0,0,0
CUST00442,At-Risk Customers,69,3,1148.99,0,0
CUST00443,Dormant Customers,265,0,0.0,0,0
CUST00444,Dormant Customers,232,0,0.0,0,0
CUST00445,Discount-Sensitive,26,1,1594.8,0,1
CUST00446,Discount-Sensitive,26,1,521.16,0,1
CUST00447,High-Value but Unhappy,36,6,2647.85,2,2
CUST00448,Discount-Sensitive,136,1,678.51,0,1
CUST00449,Discount-Sensitive,209,0,0.0,0,1
CUST00450,Discount-Sensitive,44,1,862.9,0,1
CUST00451,Champions,29,2,2306.23,0,1
CUST00452,Dormant Customers,256,0,0.0,0,0
CUST00453,Champions,17,4,3032.93,1,0
CUST00454,High-Value but Unhappy,13,3,1507.78,2,1
CUST00455,Dormant Customers,273,0,0.0,0,0
CUST00456,Loyal Customers,147,1,1052.09,0,0
CUST00457,Dormant Customers,321,0,0.0,0,0
CUST00458,Champions,4,2,1371.81,0,0
CUST00459,Discount-Sensitive,237,0,0.0,0,1
CUST00460,Champions,19,5,3252.95,1,0
CUST00461,Dormant Customers,194,0,0.0,0,0
CUST00462,Loyal Customers,35,1,744.65,0,0
CUST00463,Champions,29,4,5048.68,0,0
CUST00464,At-Risk Customers,106,3,1513.01,0,0
CUST00465,Discount-Sensitive,177,1,1298.74,0,1
CUST00466,Champions,25,5,3048.01,0,1
CUST00467,Discount-Sensitive,3,1,487.76,0,2
CUST00468,Dormant Customers,198,0,0.0,0,0
CUST00469,Champions,19,3,1886.95,0,0
CUST00470,Dormant Customers,166,1,218.29,0,0
CUST00471,Discount-Sensitive,126,1,307.23,0,1
CUST00472,Loyal Customers,114,1,1728.07,0,0
CUST00473,At-Risk Customers,121,2,1291.76,0,0
CUST00474,Champions,22,3,1652.35,0,0
CUST00475,Loyal Customers,39,2,822.87,0,0
CUST00476,Discount-Sensitive,140,1,335.33,0,1
CUST00477,Champions,60,2,1480.16,0,0
CUST00478,Loyal Customers,31,2,862.04,0,2
CUST00479,Discount-Sensitive,269,0,0.0,0,1
CUST00480,Dormant Customers,148,1,491.6,0,0
CUST00481,Champions,43,2,934.12,0,1
CUST00482,Discount-Sensitive,32,1,961.86,0,1
CUST00483,At-Risk Customers,107,2,1258.46,0,1
CUST00484,Champions,62,2,1741.75,1,0
CUST00485,Discount-Sensitive,228,0,0.0,0,1
CUST00486,Discount-Sensitive,44,1,810.16,0,2
CUST00487,Discount-Sensitive,29,1,617.91,1,1
CUST00488,Discount-Sensitive,217,0,0.0,0,1
CUST00489,Discount-Sensitive,210,0,0.0,0,3
CUST00490,Discount-Sensitive,7,1,557.54,1,2
CUST00491,Discount-Sensitive,97,1,540.89,1,1
CUST00492,Loyal Customers,61,1,509.57,0,0
CUST00493,At-Risk Customers,108,2,1757.06,0,2
CUST00494,Discount-Sensitive,11,1,660.15,0,1
CUST00495,Champions,45,2,2001.59,0,0
CUST00496,Loyal Customers,35,1,1586.18,0,0
CUST00497,Loyal Customers,159,1,1724.62,0,0
CUST00498,Champions,24,2,970.31,0,0
CUST00499,Loyal Customers,18,1,1553.47,0,0
CUST00500,Champions,43,2,2352.5,0,3
CUST00501,Champions,20,4,2834.75,1,1
CUST00502,Champions,17,2,1615.24,0,1
CUST00503,High-Value but Unhappy,48,3,2246.7,2,1
CUST00504,Discount-Sensitive,15,1,1602.01,0,2
CUST00505,Discount-Sensitive,125,1,1027.23,0,1
CUST00506,Champions,38,3,2912.1,0,0
CUST00507,Loyal Customers,120,1,2716.4,0,0
CUST00508,Discount-Sensitive,148,1,717.51,0,1
CUST00509,Loyal Customers,21,1,954.21,0,0
CUST00510,Discount-Sensitive,162,1,531.36,0,1
CUST00511,Champions,5,2,1447.75,1,1
CUST00512,Champions,16,4,2468.63,1,1
CUST00513,Champions,27,4,2536.83,1,2
CUST00514,Loyal Customers,93,1,1687.55,0,0
CUST00515,Champions,6,2,1540.13,0,0
CUST00516,Discount-Sensitive,27,1,623.59,0,1
CUST00517,Discount-Sensitive,59,1,612.95,0,1
CUST00518,Loyal Customers,23,1,226.9,0,0
CUST00519,Dormant Customers,81,1,412.42,0,0
CUST00520,Loyal Customers,2,1,503.98,0,0
CUST00521,Champions,42,6,2945.06,1,1
CUST00522,Dormant Customers,462,0,0.0,0,0
CUST00523,Discount-Sensitive,29,1,921.24,0,1
CUST00524,Loyal Customers,11,1,1453.6,0,0
CUST00525,Dormant Customers,220,0,0.0,0,0
CUST00526,Discount-Sensitive,2,1,1131.41,0,1
CUST00527,Loyal Customers,113,1,1920.65,0,0
CUST00528,Discount-Sensitive,14,1,556.1,0,1
CUST00529,Discount-Sensitive,63,1,1129.52,1,2
CUST00530,Champions,57,2,1840.55,0,0
CUST00531,Loyal Customers,43,2,648.41,1,0
CUST00532,Dormant Customers,118,1,880.45,0,0
